id,text,gold_label,source,baseline_reply,baseline_emotion_label,baseline_format_valid,baseline_route_usable,famlee_raw_output,famlee_emotion_label,famlee_semantic_summary,famlee_risk_level,famlee_recommended_skill,famlee_format_valid,famlee_route_usable
calm_01,你要不要去吃午餐？,平静,public/mapped,这句话是温和礼貌的邀约情绪，没有明显的正负向情绪偏向。我没办法实际去吃午餐啦，如果你正准备吃午餐，快去挑喜欢的好吃的，好好享受用餐时间呀~,,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""你要不要去吃午餐？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,你要不要去吃午餐？,low,cognitive_clarification,true,true
calm_02,啊今天骑脚踏车你去不去？,平静,public/mapped,这句话带着轻松活泼的热情邀约情绪呀，骑行吹风逛风景真的很舒服，要是有空一起去骑骑车兜风真的太惬意啦～,,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""啊今天骑脚踏车你去不去？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,啊今天骑脚踏车你去不去？,low,cognitive_clarification,true,true
calm_03,这礼拜要去图书馆吗？,平静,public/mapped,这句话没有带有明显的正负向情绪，属于中性的询问，看起来应该是在确认行程或是发出一起去学习的邀约哦。,平静,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""这礼拜要去图书馆吗？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,这礼拜要去图书馆吗？,low,cognitive_clarification,true,true
calm_04,你觉得我今天哪里不一样？,平静,public/mapped,能感觉到你带着满满的期待，还有点小俏皮，等着别人发现你的变化呀~哈哈我一下子猜不出来，快给我点小提示我猜猜看好不好😉,,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""你觉得我今天哪里不一样？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,你觉得我今天哪里不一样？,low,cognitive_clarification,true,true
calm_05,你觉得今年我有可能中彩票吗？,平静,public/mapped,哈哈，能看出来你对今年的好运满怀期待呀～虽说中大奖的概率确实很低，但只要买了就存在中奖的可能呀，说不定今年就是你的幸运年，真中了可别忘了来分享好运呀😉,,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""你觉得今年我有可能中彩票吗？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,你觉得今年我有可能中彩票吗？,low,cognitive_clarification,true,true
calm_06,你觉得未来的交通工具会是什么样子？,平静,public/mapped,"这段文本没有强烈的正负向情绪，主要是带着对未来交通发展的好奇心和探索欲来提问的~

我觉得未来的交通工具肯定会往更环保、更智能、更高效的方向发展呀：短途出行可能会普及轻量化的智能个人出行工具，全自动驾驶会变成标配，低空领域开放后，小型飞行汽车也会走进普通人的生活；中长距离出行的话，类似真空管道超级高铁这类超高速交通可能会普及，跨城通勤只需要几十分钟，而且所有交通工具基本都会使用清洁能源，还能根据乘客需求调整空间，长途出行也能变成舒服的移动办公或休闲空间，想想就很让人期待呢。",,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""你觉得未来的交通工具会是什么样子？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,你觉得未来的交通工具会是什么样子？,low,cognitive_clarification,true,true
calm_07,你觉得学习一门新语言重要吗？,平静,public/mapped,我觉得学习一门新语言还是挺有价值的呀~它不只是多掌握了一项交流工具，还能帮你跳出原有的语言和思维框架，接触到更多元的文化与视角。不管是拓展工作机会、旅行时更深地融入当地，还是闲暇时读原版书、看原片，收获原汁原味的乐趣，都很有意义。哪怕不追求学到多精通，学习的过程也能锻炼大脑思维，如果有兴趣的话，真的很值得试一试。,,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""你觉得学习一门新语言重要吗？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,你觉得学习一门新语言重要吗？,low,cognitive_clarification,true,true
calm_08,今天要不要一起去看电影？,平静,public/mapped,这句话传递的是轻松友好、带着期待的邀约情绪呀，要是我会回复：当然好呀！最近新上的那部口碑大片我想看好久了，咱们约今天几点的场次呀？,,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""今天要不要一起去看电影？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,今天要不要一起去看电影？,low,cognitive_clarification,true,true
calm_09,今天要做一些整理工作。,平静,public/mapped,这段话是很平和的日常陈述，整体情绪平稳淡然，没有强烈的喜悲情绪哦~慢慢整理东西其实还挺治愈的，整理完看着清爽有序的空间，肯定会收获满满的成就感哒😉,平静,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""今天要做一些整理工作。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,今天要做一些整理工作。,low,cognitive_clarification,true,true
calm_10,你觉得我应该要怎么做才好？,平静,public/mapped,看起来你现在正碰到拿不定主意的事儿啦，可以和我说说具体是遇到什么问题了吗？不管是学业工作、人际关系还是生活里的烦心事，说出来咱们可以一起梳理想想办法~,,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""你觉得我应该要怎么做才好？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,你觉得我应该要怎么做才好？,low,cognitive_clarification,true,true
calm_11,我今天打算去超市。,平静,public/mapped,这段话是很平和的日常陈述，没有带什么强烈的情绪呢，你是打算去囤爱吃的零食，还是购置家里需要的日用品呀？,平静,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""我今天打算去超市。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,我今天打算去超市。,low,cognitive_clarification,true,true
calm_12,你觉得这个主意怎么样？,平静,public/mapped,你还没告诉我具体是什么主意呢，可以把你的想法详细说给我听听，我帮你一起参谋参谋呀~,,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""你觉得这个主意怎么样？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,你觉得这个主意怎么样？,low,cognitive_clarification,true,true
calm_13,我打算下周去旅游。,平静,public/mapped,能感觉到你现在满是期待呀！太羡慕啦，请问你打算去哪里玩呀？提前祝你旅途顺利，吃得开心玩得尽兴，留下超多美好的回忆哦😉,开心,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""我打算下周去旅游。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,我打算下周去旅游。,low,cognitive_clarification,true,true
calm_14,今天的天气如何？,平静,public/mapped,我没办法获取实时的天气信息哦，你可以打开手机自带的天气应用，输入你所在的城市，就能查到今天具体的天气情况啦。,,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""今天的天气如何？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,今天的天气如何？,low,cognitive_clarification,true,true
calm_15,周末可以做点什么？,平静,public/mapped,"这段文本没有明显强烈的正负情绪，主要是抱着寻求安排建议的中性诉求心态。
给你推荐几种不同风格的周末打开方式呀：如果想放松充电，完全可以睡个懒觉，窝在家里追囤了好久的剧、点爱吃的外卖，安安静静瘫一天就很治愈；如果想出门透气，可以逛逛新开的小店、去城市公园散步野餐，或是约好友找个好吃的馆子聚一聚；要是想过得充实一点，也可以去看展看电影、读一本搁置了很久的书，或是试试做一道新菜~你平时更喜欢怎么过周末呀？",平静,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""周末可以做点什么？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,周末可以做点什么？,low,cognitive_clarification,true,true
calm_16,晚上有空吗？要不要去看场电影。,平静,public/mapped,这句话是发出结伴出行的邀约，主要情绪是轻松友善的，还带着期待对方赴约的愉悦感。自然回复可以是：有空呀！我正好种草了刚上的新电影，咱们现在出发吧～,,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""晚上有空吗？要不要去看场电影。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,晚上有空吗？要不要去看场电影。,low,cognitive_clarification,true,true
calm_17,今天晚上吃什么好呢？,平静,public/mapped,"这句话主要带着犹豫纠结的情绪，毕竟选晚饭确实是个超让人头疼的难题～
是不是纠结半天挑不出想吃的啦？你可以先想想今天想吃什么口味呀，是想来顿香香辣辣的火锅烧烤，还是吃点清爽顺口的汤面简餐？拿不定主意的话我可以帮你出出主意哦😉",,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""今天晚上吃什么好呢？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,今天晚上吃什么好呢？,low,cognitive_clarification,true,true
calm_18,这个周末要不要一起去公园走走？,平静,public/mapped,这段话主要是带着亲切期待的友好邀约情绪，语气轻松又舒展。如果是我的话肯定一口答应呀，最近天气不冷不热的，去公园散散步吹吹风、看看花草太惬意了～,,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""这个周末要不要一起去公园走走？"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,这个周末要不要一起去公园走走？,low,cognitive_clarification,true,true
calm_19,你明天有空吗？要不要一起去喝杯咖啡。,平静,public/mapped,"这段文本传递出的是友好轻松的邀约情绪，带着善意的社交期待。
我来回应这个邀约的话就是：当然有空呀！我最近刚好发现了一家氛围很不错的咖啡店，咱们明天约在那里碰面好不好？",,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""你明天有空吗？要不要一起去喝杯咖啡。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,你明天有空吗？要不要一起去喝杯咖啡。,low,cognitive_clarification,true,true
calm_20,今天没什么特别的事情，按部就班上课、吃饭、回宿舍。,平静,self-built,听起来今天过得平稳又平淡，没有什么起伏波澜，这种不用赶急事焦头烂额、按自己节奏走的日常其实也挺舒服的，安安稳稳的也很好呀~,平静,false,false,"{""emotion_label"":""平静"",""semantic_summary"":""今天没什么特别的事情，按部就班上课、吃饭、回宿舍。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",平静,今天没什么特别的事情，按部就班上课、吃饭、回宿舍。,low,cognitive_clarification,true,true
happy_01,诶诶诶！我甄选上了！,开心,public/mapped,哇！太替你开心了！这简直是超棒的好消息呀！能被甄选上肯定离不开你之前的用心准备，赶紧好好庆祝一下这份惊喜呀🎉,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""诶诶诶！我甄选上了！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,诶诶诶！我甄选上了！,low,cognitive_clarification,true,true
happy_02,我们今天班际篮球赛赢了！,开心,public/mapped,这段文本传递出的主要情绪是赢球后抑制不住的兴奋喜悦，还带着满满的集体荣誉感呀！太恭喜你们啦！赢下班际篮球赛真的超酷，整个班估计都沸腾了吧，一群人一起拼下来的胜利想想都觉得超级热血🥳！,,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我们今天班际篮球赛赢了！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我们今天班际篮球赛赢了！,low,cognitive_clarification,true,true
happy_03,我这礼拜就要出国玩了！,开心,public/mapped,这段话里主要的情绪是兴奋又充满期待的喜悦感呀！听起来太让人开心羡慕啦，提前祝你旅途一路顺利，吃好玩好，收获超多超棒的旅行回忆哦😉,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我这礼拜就要出国玩了！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我这礼拜就要出国玩了！,low,cognitive_clarification,true,true
happy_04,我这次终于把程序写出来了！,开心,public/mapped,哇太厉害了！太替你开心啦！熬了那么久终于把程序写出来，这份成就感肯定超棒对不对，快狠狠奖励一下努力的自己呀🎉,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我这次终于把程序写出来了！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我这次终于把程序写出来了！,low,cognitive_clarification,true,true
happy_05,今年的圣诞节又要到了！,开心,public/mapped,听起来你满是期待呀🎄是不是已经提前想好要怎么过圣诞，或者准备好给身边人的礼物了呀？,,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""今年的圣诞节又要到了！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,今年的圣诞节又要到了！,low,cognitive_clarification,true,true
happy_06,我刚刚座位抽到我好朋友的旁边！,开心,public/mapped,哇这是什么神仙好运气！太开心了吧！挨着好朋友坐，上课/上班无聊就能偷偷聊天分享小零食，简直太美滋滋啦🥳,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我刚刚座位抽到我好朋友的旁边！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我刚刚座位抽到我好朋友的旁边！,low,cognitive_clarification,true,true
happy_07,我妈终于要让我养狗了！,开心,public/mapped,哇这也太值得开心了！终于如愿以偿啦🥳你有没有想好要养什么品种的小狗呀？,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我妈终于要让我养狗了！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我妈终于要让我养狗了！,low,cognitive_clarification,true,true
happy_08,我终于弄懂了基本电学！,开心,public/mapped,哇，太替你开心啦！这满满的成就感都要溢出屏幕了，能啃下基本电学这块入门内容，肯定花了不少心思琢磨吧，这下基础打牢了，之后再学更深的电学知识也会顺畅多啦🥳,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我终于弄懂了基本电学！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我终于弄懂了基本电学！,low,cognitive_clarification,true,true
happy_09,我刚刚收到了大学录取通知书！,开心,public/mapped,哇，这真的是天大的好消息呀！能感受到你现在满溢出来的兴奋和喜悦对不对！辛辛苦苦拼搏这么多年终于拿到了满意的结果，真的太替你开心了！快好好庆祝一下，好好享受这段轻松愉快的假期，尽情憧憬美好的大学生活吧🎉,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我刚刚收到了大学录取通知书！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我刚刚收到了大学录取通知书！,low,cognitive_clarification,true,true
happy_10,我终于存到钱买了一台新相机！,开心,public/mapped,哇！真的太替你开心啦！攒了好久的心愿终于达成，这种满足感肯定超棒对不对！是不是已经迫不及待要带着新相机出去拍美美的照片啦😆,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我终于存到钱买了一台新相机！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我终于存到钱买了一台新相机！,low,cognitive_clarification,true,true
happy_11,我的论文被新闻接受了！,开心,public/mapped,哇，这简直是太棒的好消息啦！太恭喜你了！辛苦的付出终于收获了超棒的成果，真的太为你开心啦🎉,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我的论文被新闻接受了！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我的论文被新闻接受了！,low,cognitive_clarification,true,true
happy_12,我的宠物狗刚刚学会了一个新把戏！,开心,public/mapped,这段话里满是开心兴奋的喜悦情绪呀，太棒啦！你家小狗也太聪明了吧，请问学会的是什么有趣的新把戏呀🥰,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我的宠物狗刚刚学会了一个新把戏！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我的宠物狗刚刚学会了一个新把戏！,low,cognitive_clarification,true,true
happy_13,我终于完成了我的第一本小说！,开心,public/mapped,哇！这也太了不起了吧！真的超替你开心呀🥳，从构思开篇到写完完本，肯定攒了好多心血熬过好多琢磨情节的夜晚对不对？写完第一本小说真的是超有纪念意义的里程碑呀，太棒啦！,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我终于完成了我的第一本小说！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我终于完成了我的第一本小说！,low,cognitive_clarification,true,true
happy_14,我今天终于拿到我的毕业证书了！,开心,public/mapped,哇！太恭喜你啦！辛苦了这么久终于拿到沉甸甸的毕业证书啦，真的超为你开心🥳，接下来是不是要好好庆祝一下这个值得纪念的时刻呀～,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我今天终于拿到我的毕业证书了！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我今天终于拿到我的毕业证书了！,low,cognitive_clarification,true,true
happy_15,我刚刚完成了一个大项目，感觉一身轻。,开心,public/mapped,哇，太棒啦！恭喜你顺利完成大项目~卸下重担之后这种浑身轻松的感觉真的太爽了对吧？快趁这个机会好好放松一下，吃点好吃的或是安安稳歇一歇，好好犒劳一下努力了这么久的自己呀😉,,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我刚刚完成了一个大项目，感觉一身轻。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我刚刚完成了一个大项目，感觉一身轻。,low,cognitive_clarification,true,true
happy_16,我刚刚收到了一封很好的消息！,开心,public/mapped,哇太棒啦！真替你开心～快说说是什么好消息呀，好想沾沾你的喜气😆,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我刚刚收到了一封很好的消息！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我刚刚收到了一封很好的消息！,low,cognitive_clarification,true,true
happy_17,我最近学会了一个新的东西，有点爽。,开心,public/mapped,听起来太开心啦！解锁新技能那种满满成就感真的超爽对不对😆 好奇你学会的是什么有意思的新东西呀？,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我最近学会了一个新的东西，有点爽。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我最近学会了一个新的东西，有点爽。,low,cognitive_clarification,true,true
happy_18,我今天升主管了，超开心的！,开心,public/mapped,哇！太恭喜你啦！升主管说明你的能力得到了大家的认可，真的超为你开心🥳，是不是打算好好庆祝一下这个大喜事呀？,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我今天升主管了，超开心的！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我今天升主管了，超开心的！,low,cognitive_clarification,true,true
happy_19,我刚刚在比赛中拿到了第一名！,开心,public/mapped,这段文本里的主要情绪是兴奋喜悦，还带着满满的成就感与自豪感呀！哇真的太恭喜你了！拿到第一名真的超厉害，这肯定是你平时努力付出换来的好结果，太为你开心啦🥳,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""我刚刚在比赛中拿到了第一名！"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,我刚刚在比赛中拿到了第一名！,low,cognitive_clarification,true,true
happy_20,老师表扬了我的展示，我开心了一整天。,开心,self-built,这段文字里的主要情绪是满满的开心，还有付出被认可后的成就感呀！真的太替你开心啦，认真准备的展示得到老师的肯定，这种一整天都美滋滋的好心情也太幸福了✨,开心,false,false,"{""emotion_label"":""开心"",""semantic_summary"":""老师表扬了我的展示，我开心了一整天。"",""risk_level"":""low"",""recommended_skill"":""cognitive_clarification""}",开心,老师表扬了我的展示，我开心了一整天。,low,cognitive_clarification,true,true
