id,text,gold_label,source
calm_01,你要不要去吃午餐？,平静,public/mapped
calm_02,啊今天骑脚踏车你去不去？,平静,public/mapped
calm_03,这礼拜要去图书馆吗？,平静,public/mapped
calm_04,你觉得我今天哪里不一样？,平静,public/mapped
calm_05,你觉得今年我有可能中彩票吗？,平静,public/mapped
calm_06,你觉得未来的交通工具会是什么样子？,平静,public/mapped
calm_07,你觉得学习一门新语言重要吗？,平静,public/mapped
calm_08,今天要不要一起去看电影？,平静,public/mapped
calm_09,今天要做一些整理工作。,平静,public/mapped
calm_10,你觉得我应该要怎么做才好？,平静,public/mapped
calm_11,我今天打算去超市。,平静,public/mapped
calm_12,你觉得这个主意怎么样？,平静,public/mapped
calm_13,我打算下周去旅游。,平静,public/mapped
calm_14,今天的天气如何？,平静,public/mapped
calm_15,周末可以做点什么？,平静,public/mapped
calm_16,晚上有空吗？要不要去看场电影。,平静,public/mapped
calm_17,今天晚上吃什么好呢？,平静,public/mapped
calm_18,这个周末要不要一起去公园走走？,平静,public/mapped
calm_19,你明天有空吗？要不要一起去喝杯咖啡。,平静,public/mapped
calm_20,今天没什么特别的事情，按部就班上课、吃饭、回宿舍。,平静,self-built
happy_01,诶诶诶！我甄选上了！,开心,public/mapped
happy_02,我们今天班际篮球赛赢了！,开心,public/mapped
happy_03,我这礼拜就要出国玩了！,开心,public/mapped
happy_04,我这次终于把程序写出来了！,开心,public/mapped
happy_05,今年的圣诞节又要到了！,开心,public/mapped
happy_06,我刚刚座位抽到我好朋友的旁边！,开心,public/mapped
happy_07,我妈终于要让我养狗了！,开心,public/mapped
happy_08,我终于弄懂了基本电学！,开心,public/mapped
happy_09,我刚刚收到了大学录取通知书！,开心,public/mapped
happy_10,我终于存到钱买了一台新相机！,开心,public/mapped
happy_11,我的论文被新闻接受了！,开心,public/mapped
happy_12,我的宠物狗刚刚学会了一个新把戏！,开心,public/mapped
happy_13,我终于完成了我的第一本小说！,开心,public/mapped
happy_14,我今天终于拿到我的毕业证书了！,开心,public/mapped
happy_15,我刚刚完成了一个大项目，感觉一身轻。,开心,public/mapped
happy_16,我刚刚收到了一封很好的消息！,开心,public/mapped
happy_17,我最近学会了一个新的东西，有点爽。,开心,public/mapped
happy_18,我今天升主管了，超开心的！,开心,public/mapped
happy_19,我刚刚在比赛中拿到了第一名！,开心,public/mapped
happy_20,老师表扬了我的展示，我开心了一整天。,开心,self-built
anxious_01,明天就要答辩了，我一直担心自己讲不好。,焦虑,self-built
anxious_02,下周有三门考试，我越复习越觉得来不及。,焦虑,self-built
anxious_03,导师突然让我汇报进度，我怕自己准备得不够。,焦虑,self-built
anxious_04,简历投出去一直没有回应，我担心自己找不到实习。,焦虑,self-built
anxious_05,群消息一直没回，我害怕是不是自己说错话了。,焦虑,self-built
anxious_06,明天面试，我脑子里一直在想会不会答不上来。,焦虑,self-built
anxious_07,ddl 快到了，可我还没有写完，心里特别慌。,焦虑,self-built
anxious_08,我最近总是失眠，一想到毕业去向就心慌。,焦虑,self-built
anxious_09,老师说要随机点名展示，我从早上就开始紧张。,焦虑,self-built
anxious_10,实习考核快到了，我担心自己表现不够好。,焦虑,self-built
anxious_11,我怕这次挂科会影响保研，整个人都静不下来。,焦虑,self-built
anxious_12,室友都找到方向了，我还没想清楚未来，压力很大。,焦虑,self-built
anxious_13,项目代码一直跑不通，我担心明天验收出问题。,焦虑,self-built
anxious_14,我很怕上台发言，一想到所有人看着我就紧张。,焦虑,self-built
anxious_15,家里一直问我考研准备得怎么样，我压力越来越大。,焦虑,self-built
anxious_16,我担心自己选错专业，以后会不会没有出路。,焦虑,self-built
anxious_17,最近听说公司要裁员，我好怕自己会被波及。,焦虑,self-built
anxious_18,我有点担心明天的考试，感觉准备得不够好。,焦虑,self-built
anxious_19,我对明天的面试真的很紧张，很怕没办法通过。,焦虑,self-built
anxious_20,这周末要专题报告，我好怕报告得不好。,焦虑,self-built
sad_01,今天我跟朋友吵架了，心里很难受。,难过,public/mapped
sad_02,我觉得我好像要被当了，真的很失望。,难过,public/mapped
sad_03,我今天被老师骂了，回宿舍后一直很低落。,难过,public/mapped
sad_04,黑豹的演员过世了，我有点难过。,难过,public/mapped
sad_05,这次的表演我犯了一个很大的错误，我搞砸了。,难过,public/mapped
sad_06,我养了三年的鱼今天死了。,难过,public/mapped
sad_07,我最喜欢的咖啡厅要关了。,难过,public/mapped
sad_08,我最喜欢的作家去世了。,难过,public/mapped
sad_09,我最好的朋友要移民了，以后可能很难见面了。,难过,public/mapped
sad_10,我最喜欢的餐厅因为疫情关门了。,难过,public/mapped
sad_11,我养了十年的盆栽今天枯萎了。,难过,public/mapped
sad_12,昨天和朋友吵架了，现在很难过。,难过,public/mapped
sad_13,最近的工作进度很糟糕，我觉得自己越来越没自信。,难过,public/mapped
sad_14,我今天又没考好，真的很失望。,难过,public/mapped
sad_15,我最近觉得大家都好冷淡，都没人理我。,难过,public/mapped
sad_16,我觉得最近的努力都没有得到回报。,难过,public/mapped
sad_17,我最近真的觉得生活失去了方向。,难过,public/mapped
sad_18,最近工作一直不顺利，觉得好累。,难过,public/mapped
sad_19,最近和家人的关系有点紧张，让我心情很差。,难过,public/mapped
sad_20,和朋友吵架后，我一个人在宿舍待了很久，心里很难受。,难过,self-built
angry_01,我的小专题组员都不做事，超后悔跟他一组。,生气,public/mapped
angry_02,有人在背后说我坏话，我真的很生气。,生气,public/mapped
angry_03,为什么他们可以在背后这样批评人，超没礼貌的。,生气,public/mapped
